Date,Trend
10/1/2023,51
10/2/2023,82
10/3/2023,82
10/4/2023,76
10/5/2023,78
10/6/2023,78
10/7/2023,65
10/8/2023,41
10/9/2023,72
10/10/2023,78
10/11/2023,78
10/12/2023,78
10/13/2023,81
10/14/2023,62
10/15/2023,42
10/16/2023,72
10/17/2023,72
10/18/2023,75
10/19/2023,70
10/20/2023,72
10/21/2023,61
10/22/2023,37
10/23/2023,68
10/24/2023,68
10/25/2023,81
10/26/2023,72
10/27/2023,72
10/28/2023,56
10/29/2023,36
10/30/2023,70
10/31/2023,75
11/1/2023,85
11/2/2023,81
11/3/2023,81
11/4/2023,65
11/5/2023,39
11/6/2023,70
11/7/2023,74
11/8/2023,75
11/9/2023,73
11/10/2023,82
11/11/2023,62
11/12/2023,41
11/13/2023,68
11/14/2023,74
11/15/2023,74
11/16/2023,74
11/17/2023,76
11/18/2023,64
11/19/2023,36
11/20/2023,69
11/21/2023,69
11/22/2023,71
11/23/2023,33
11/24/2023,64
11/25/2023,58
11/26/2023,39
11/27/2023,70
11/28/2023,74
11/29/2023,74
11/30/2023,77
12/1/2023,87
12/2/2023,76
12/3/2023,42
12/4/2023,76
12/5/2023,78
12/6/2023,77
12/7/2023,80
12/8/2023,85
12/9/2023,64
12/10/2023,43
12/11/2023,75
12/12/2023,76
12/13/2023,70
12/14/2023,75
12/15/2023,81
12/16/2023,71
12/17/2023,44
12/18/2023,69
12/19/2023,76
12/20/2023,76
12/21/2023,76
12/22/2023,81
12/23/2023,67
12/24/2023,39
12/25/2023,33
12/26/2023,69
12/27/2023,77
12/28/2023,82
12/29/2023,83
12/30/2023,68
12/31/2023,44
1/1/2024,48
1/2/2024,85
1/3/2024,79
1/4/2024,79
1/5/2024,81
1/6/2024,65
1/7/2024,38
1/8/2024,69
1/9/2024,67
1/10/2024,72
1/11/2024,71
1/12/2024,76
1/13/2024,64
1/14/2024,36
1/15/2024,58
1/16/2024,71
1/17/2024,72
1/18/2024,70
1/19/2024,73
1/20/2024,60
1/21/2024,38
1/22/2024,67
1/23/2024,67
1/24/2024,68
1/25/2024,70
1/26/2024,75
1/27/2024,61
1/28/2024,39
1/29/2024,71
1/30/2024,76
1/31/2024,77
2/1/2024,82
2/2/2024,85
2/3/2024,69
2/4/2024,42
2/5/2024,72
2/6/2024,72
2/7/2024,73
2/8/2024,70
2/9/2024,78
2/10/2024,63
2/11/2024,39
2/12/2024,65
2/13/2024,76
2/14/2024,71
2/15/2024,72
2/16/2024,78
2/17/2024,70
2/18/2024,42
2/19/2024,60
2/20/2024,75
2/21/2024,73
2/22/2024,73
2/23/2024,80
2/24/2024,62
2/25/2024,44
2/26/2024,67
2/27/2024,74
2/28/2024,74
2/29/2024,78
3/1/2024,87
3/2/2024,69
3/3/2024,41
3/4/2024,74
3/5/2024,72
3/6/2024,69
3/7/2024,72
3/8/2024,73
3/9/2024,63
3/10/2024,39
3/11/2024,66
3/12/2024,71
3/13/2024,74
3/14/2024,71
3/15/2024,75
3/16/2024,63
3/17/2024,39
3/18/2024,66
3/19/2024,71
3/20/2024,72
3/21/2024,75
3/22/2024,70
3/23/2024,54
3/24/2024,42
3/25/2024,67
3/26/2024,70
3/27/2024,73
3/28/2024,78
3/29/2024,86
3/30/2024,60
3/31/2024,40
4/1/2024,86
4/2/2024,77
4/3/2024,74
4/4/2024,71
4/5/2024,78
4/6/2024,58
4/7/2024,40
4/8/2024,69
4/9/2024,71
4/10/2024,74
4/11/2024,79
4/12/2024,79
4/13/2024,60
4/14/2024,42
4/15/2024,79
4/16/2024,70
4/17/2024,66
4/18/2024,71
4/19/2024,70
4/20/2024,56
4/21/2024,36
4/22/2024,64
4/23/2024,66
4/24/2024,71
4/25/2024,66
4/26/2024,70
4/27/2024,49
4/28/2024,38
4/29/2024,69
4/30/2024,73
5/1/2024,84
5/2/2024,77
5/3/2024,78
5/4/2024,60
5/5/2024,39
5/6/2024,75
5/7/2024,70
5/8/2024,75
5/9/2024,92
5/10/2024,95
5/11/2024,88
5/12/2024,100
5/13/2024,84
5/14/2024,69
5/15/2024,68
5/16/2024,69
5/17/2024,68
5/18/2024,51
5/19/2024,38
5/20/2024,66
5/21/2024,65
5/22/2024,65
5/23/2024,64
5/24/2024,66
5/25/2024,49
5/26/2024,33
5/27/2024,36
5/28/2024,70
5/29/2024,72
5/30/2024,70
5/31/2024,78
6/1/2024,62
