Date,Trend
10/1/2023,13
10/2/2023,17
10/3/2023,17
10/4/2023,16
10/5/2023,17
10/6/2023,17
10/7/2023,13
10/8/2023,12
10/9/2023,16
10/10/2023,18
10/11/2023,18
10/12/2023,19
10/13/2023,18
10/14/2023,14
10/15/2023,14
10/16/2023,17
10/17/2023,20
10/18/2023,22
10/19/2023,19
10/20/2023,18
10/21/2023,15
10/22/2023,13
10/23/2023,18
10/24/2023,19
10/25/2023,19
10/26/2023,19
10/27/2023,19
10/28/2023,15
10/29/2023,14
10/30/2023,17
10/31/2023,20
11/1/2023,19
11/2/2023,20
11/3/2023,20
11/4/2023,16
11/5/2023,15
11/6/2023,19
11/7/2023,19
11/8/2023,18
11/9/2023,20
11/10/2023,20
11/11/2023,16
11/12/2023,15
11/13/2023,20
11/14/2023,22
11/15/2023,22
11/16/2023,22
11/17/2023,21
11/18/2023,18
11/19/2023,17
11/20/2023,23
11/21/2023,33
11/22/2023,32
11/23/2023,20
11/24/2023,23
11/25/2023,18
11/26/2023,17
11/27/2023,22
11/28/2023,21
11/29/2023,20
11/30/2023,20
12/1/2023,19
12/2/2023,17
12/3/2023,15
12/4/2023,20
12/5/2023,22
12/6/2023,21
12/7/2023,21
12/8/2023,24
12/9/2023,18
12/10/2023,16
12/11/2023,21
12/12/2023,21
12/13/2023,21
12/14/2023,21
12/15/2023,21
12/16/2023,17
12/17/2023,17
12/18/2023,21
12/19/2023,21
12/20/2023,21
12/21/2023,20
12/22/2023,21
12/23/2023,18
12/24/2023,16
12/25/2023,19
12/26/2023,20
12/27/2023,20
12/28/2023,22
12/29/2023,20
12/30/2023,17
12/31/2023,15
1/1/2024,16
1/2/2024,21
1/3/2024,20
1/4/2024,20
1/5/2024,20
1/6/2024,18
1/7/2024,17
1/8/2024,24
1/9/2024,27
1/10/2024,25
1/11/2024,24
1/12/2024,22
1/13/2024,17
1/14/2024,16
1/15/2024,18
1/16/2024,23
1/17/2024,24
1/18/2024,24
1/19/2024,25
1/20/2024,19
1/21/2024,18
1/22/2024,24
1/23/2024,25
1/24/2024,26
1/25/2024,27
1/26/2024,27
1/27/2024,19
1/28/2024,18
1/29/2024,23
1/30/2024,24
1/31/2024,25
2/1/2024,24
2/2/2024,26
2/3/2024,20
2/4/2024,19
2/5/2024,27
2/6/2024,29
2/7/2024,28
2/8/2024,27
2/9/2024,29
2/10/2024,23
2/11/2024,21
2/12/2024,30
2/13/2024,31
2/14/2024,31
2/15/2024,33
2/16/2024,32
2/17/2024,22
2/18/2024,21
2/19/2024,25
2/20/2024,46
2/21/2024,85
2/22/2024,100
2/23/2024,74
2/24/2024,41
2/25/2024,36
2/26/2024,45
2/27/2024,39
2/28/2024,36
2/29/2024,34
3/1/2024,35
3/2/2024,28
3/3/2024,23
3/4/2024,38
3/5/2024,37
3/6/2024,37
3/7/2024,43
3/8/2024,49
3/9/2024,30
3/10/2024,24
3/11/2024,40
3/12/2024,42
3/13/2024,39
3/14/2024,36
3/15/2024,34
3/16/2024,23
3/17/2024,23
3/18/2024,44
3/19/2024,55
3/20/2024,44
3/21/2024,41
3/22/2024,37
3/23/2024,25
3/24/2024,25
3/25/2024,37
3/26/2024,34
3/27/2024,36
3/28/2024,33
3/29/2024,25
3/30/2024,20
3/31/2024,19
4/1/2024,28
4/2/2024,29
4/3/2024,28
4/4/2024,28
4/5/2024,28
4/6/2024,20
4/7/2024,19
4/8/2024,25
4/9/2024,27
4/10/2024,28
4/11/2024,27
4/12/2024,25
4/13/2024,17
4/14/2024,18
4/15/2024,25
4/16/2024,25
4/17/2024,25
4/18/2024,26
4/19/2024,32
4/20/2024,25
4/21/2024,20
4/22/2024,30
4/23/2024,28
4/24/2024,28
4/25/2024,28
4/26/2024,27
4/27/2024,19
4/28/2024,18
4/29/2024,27
4/30/2024,25
5/1/2024,25
5/2/2024,23
5/3/2024,24
5/4/2024,18
5/5/2024,15
5/6/2024,24
5/7/2024,25
5/8/2024,24
5/9/2024,24
5/10/2024,25
5/11/2024,17
5/12/2024,16
5/13/2024,24
5/14/2024,25
5/15/2024,25
5/16/2024,26
5/17/2024,26
5/18/2024,18
5/19/2024,17
5/20/2024,30
5/21/2024,37
5/22/2024,79
5/23/2024,86
5/24/2024,49
5/25/2024,28
5/26/2024,23
5/27/2024,30
5/28/2024,45
5/29/2024,49
5/30/2024,44
5/31/2024,38
6/1/2024,23
